SMILES,LOGS
[H][C@@]1(CO)OC(O)[C@@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,0.64
CC(=O)NCCCCN,0.04
OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,-0.4
CCCCCC\C=C/CCCC(O)=O,-4.14
CCCCCCC(N)C(O)=O,-1.47
CCCC(=O)CC,-0.9
OC(=O)CCCCCCCC(O)=O,-1.92
OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O,-3.21
OCC1=CNC(=O)NC1=O,-1.01
OC(=O)\C=C\C1=CC(O)=CC=C1,-2.2
OC(CCCCCCCCCCC(O)=O)CC(O)=O,-2.97
CC1=CC(=CC=C1O)C(O)=O,-1.53
CC(C)=CC(=O)NCC(O)=O,-1.31
OC(=O)CCCC1=CNC2=C1C=CC=C2,-2.76
O[C@H]([C@H](CC(O)=O)C(O)=O)C(O)=O,-0.56
NC(CC1=CC=C(O)C(O)=C1)C(O)=O,-1.78
CC(CC(O)=O)C1=CC=CC=C1,-2.48
NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,-1.16
N[C@H](CCC(N)=O)C(O)=O,-0.17
OC(=O)CCC(O)=O,0.25
[H]OC(=O)C1=C([H])C([H])=C(O[H])C(O[H])=C1[H],-1.1
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.1
CCCC(=O)NCC(O)=O,-0.92
CC(=C)[C@H]1CCC(C)=CC1,-2.47
OC(CCCCC(O)=O)CC(O)=O,-0.99
OC(=O)CNC(=O)C1=C(O)C=CC=C1,-1.68
OC(=O)CCCCCCCCCC(O)=O,-2.69
N1C=NC2=C1C=NC=N2,-0.35
N[C@H](CO)CC1=CN=CN1,0
CN1C=NC(CCN)=C1,-1.39
NC[C@H](N)C(O)=O,0.53
CCCCCCO,-1.09
NCCCNCCCCNCCCN,-1.97
OC(C(O)=O)C1=CC(O)=CC=C1,-1.2
OC(=O)C1=CC(O)=C(O)C(O)=C1,-1.54
